date,part_id,part_name,category,location,state_code,is_holiday,is_shutdown,is_maintenance_campaign,demand,series_id
2023-01-01,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,1,1,0,0,BRG-6204 · Augsburg
2023-01-02,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,1,0,6,BRG-6204 · Augsburg
2023-01-03,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,28,BRG-6204 · Augsburg
2023-01-04,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,29,BRG-6204 · Augsburg
2023-01-05,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,27,BRG-6204 · Augsburg
2023-01-06,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,1,0,0,3,BRG-6204 · Augsburg
2023-01-07,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,4,BRG-6204 · Augsburg
2023-01-08,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,1,BRG-6204 · Augsburg
2023-01-09,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,25,BRG-6204 · Augsburg
2023-01-10,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,28,BRG-6204 · Augsburg
2023-01-11,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,29,BRG-6204 · Augsburg
2023-01-12,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,26,BRG-6204 · Augsburg
2023-01-13,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,22,BRG-6204 · Augsburg
2023-01-14,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,3,BRG-6204 · Augsburg
2023-01-15,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,2,BRG-6204 · Augsburg
2023-01-16,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,33,BRG-6204 · Augsburg
2023-01-17,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,30,BRG-6204 · Augsburg
2023-01-18,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,28,BRG-6204 · Augsburg
2023-01-19,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,27,BRG-6204 · Augsburg
2023-01-20,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,25,BRG-6204 · Augsburg
2023-01-21,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,3,BRG-6204 · Augsburg
2023-01-22,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,2,BRG-6204 · Augsburg
2023-01-23,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,34,BRG-6204 · Augsburg
2023-01-24,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,32,BRG-6204 · Augsburg
2023-01-25,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,30,BRG-6204 · Augsburg
2023-01-26,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,26,BRG-6204 · Augsburg
2023-01-27,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,26,BRG-6204 · Augsburg
2023-01-28,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,4,BRG-6204 · Augsburg
2023-01-29,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,2,BRG-6204 · Augsburg
2023-01-30,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,33,BRG-6204 · Augsburg
2023-01-31,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,33,BRG-6204 · Augsburg
2023-02-01,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,32,BRG-6204 · Augsburg
2023-02-02,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,30,BRG-6204 · Augsburg
2023-02-03,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,26,BRG-6204 · Augsburg
2023-02-04,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,3,BRG-6204 · Augsburg
2023-02-05,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,2,BRG-6204 · Augsburg
2023-02-06,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,31,BRG-6204 · Augsburg
2023-02-07,BRG-6204,Deep-groove bearing 6204,Bearings,Augsburg,BY,0,0,0,28,BRG-6204 · Augsburg
